x,y
-0.7950,-3.6590
-0.7950,-3.6680
-0.7950,-3.6770
-0.7950,-3.6860
-0.7950,-3.6950
-0.7950,-3.7040
-0.7950,-3.7130
-0.7950,-3.7220
-0.7860,-3.7310
-0.7860,-3.7400
-0.7860,-3.7490
-0.7860,-3.7580
-0.7860,-3.7670
-0.7860,-3.7760
-0.7860,-3.7850
-0.7860,-3.7940
-0.7770,-3.8030
-0.7770,-3.8120
-0.7770,-3.8210
-0.7770,-3.8300
-0.7770,-3.8390
-0.7770,-3.8480
-0.7770,-3.8570
-0.7770,-3.8660
-0.7770,-3.8750
-0.7680,-3.8840
-0.7680,-3.8930
-0.7680,-3.9020
-0.7680,-3.9110
-0.7680,-3.9200
-0.7680,-3.9290
-0.7680,-3.9380
-0.7680,-3.9470
-0.7590,-3.9560
-0.7590,-3.9650
-0.7590,-3.9740
-0.7590,-3.9830
-0.7590,-3.9920
-0.7500,-4.0010
-0.7500,-4.0100
-0.7500,-4.0190
-0.7500,-4.0280
-0.7500,-4.0370
-0.7500,-4.0460
-0.7410,-4.0550
-0.7410,-4.0640
-0.7410,-4.0730
-0.7410,-4.0820
-0.7410,-4.0910
-0.7410,-4.1000
-0.7320,-4.1090
-0.7320,-4.1180
-0.7320,-4.1270
-0.7320,-4.1360
-0.7320,-4.1450
-0.7230,-4.1540
-0.7230,-4.1630
-0.7230,-4.1720
-0.7230,-4.1810
-0.7140,-4.1900
-0.7140,-4.1990
-0.7140,-4.2080
-0.7050,-4.2170
-0.7050,-4.2260
-0.6960,-4.2350
-0.6960,-4.2440
-0.6960,-4.2530
-0.6870,-4.2620
-0.6870,-4.2710
-0.6870,-4.2800
-0.6780,-4.2890
-0.6780,-4.2980
-0.6780,-4.3070
-0.6690,-4.3160
-0.6690,-4.3250
-0.6690,-4.3340
-0.6600,-4.3430
-0.6600,-4.3520
-0.6600,-4.3610
-0.6600,-4.3700
-0.6600,-4.3790
-0.6510,-4.3880
-0.6510,-4.3970
-0.6510,-4.4060
-0.6510,-4.4150
-0.6510,-4.4240
-0.6510,-4.4330
-0.6510,-4.4420
-0.6510,-4.4510
-0.6510,-4.4600
-0.6510,-4.4690
-0.6510,-4.4780
-0.6510,-4.4870
-0.6420,-4.4960
-0.6420,-4.5050
-0.6420,-4.5140
-0.6420,-4.5230
-0.6420,-4.5320
-0.6420,-4.5410
-0.6420,-4.5500
-0.6420,-4.5590
-0.6420,-4.5680
-0.6330,-4.5770
-0.6330,-4.5860
-0.6240,-4.5950
-0.6150,-4.6040
-0.6150,-4.6130
-0.6060,-4.6220
-0.5970,-4.6310
-0.5880,-4.6400
-0.5790,-4.6490
-0.5790,-4.6580
-0.5700,-4.6670
-0.5700,-4.6760
-0.5610,-4.6850
-0.5610,-4.6940
-0.5520,-4.7030
-0.5520,-4.7120
-0.5430,-4.7210
-0.5430,-4.7300
-0.5430,-4.7390
-0.5340,-4.7480
-0.5340,-4.7570
-0.5250,-4.7660
-0.5250,-4.7750
-0.5250,-4.7840
-0.5250,-4.7930
-0.5160,-4.8020
-0.5160,-4.8110
-0.5160,-4.8200
-0.5160,-4.8290
-0.5070,-4.8380
-0.5070,-4.8470
-0.5070,-4.8560
-0.4980,-4.8650
-0.4980,-4.8740
-0.4980,-4.8830
-0.4890,-4.8920
-0.4890,-4.9010
-0.4890,-4.9100
-0.4800,-4.9190
-0.4800,-4.9280
-0.4710,-4.9370
-0.4710,-4.9460
-0.4710,-4.9550
-0.4620,-4.9640
-0.4530,-4.9730
-0.4530,-4.9820
-0.4440,-4.9910
-0.4350,-5.0000
-0.4350,-5.0090
-0.4260,-5.0180
-0.4260,-5.0270
-0.4170,-5.0360
-0.4170,-5.0450
-0.4080,-5.0540
-0.3990,-5.0630
-0.3900,-5.0720
-0.3810,-5.0810
-0.3810,-5.0900
-0.3720,-5.0990
-0.3720,-5.1080
-0.3630,-5.1170
-0.3540,-5.1260
-0.3450,-5.1350
-0.3360,-5.1440
-0.3270,-5.1530
-0.3180,-5.1620
-0.3090,-5.1710
-0.3000,-5.1800
-0.2910,-5.1890
-0.2910,-5.1980
-0.2820,-5.2070
-0.2820,-5.2160
-0.2730,-5.2250
-0.2640,-5.2340
-0.2640,-5.2430
-0.2550,-5.2520
-0.2460,-5.2610
-0.2460,-5.2700
-0.2370,-5.2790
-0.2370,-5.2880
-0.2280,-5.2970
-0.2190,-5.3060
-0.2100,-5.3150
-0.2010,-5.3240
-0.1920,-5.3330
-0.1830,-5.3420
-0.1740,-5.3510
-0.1650,-5.3600
-0.1560,-5.3690
-0.1470,-5.3780
-0.1380,-5.3870
-0.1290,-5.3960
-0.1200,-5.4050
-0.1110,-5.4140
-0.1020,-5.4230
-0.1020,-5.4320
-0.0930,-5.4410
-0.0840,-5.4500
-0.0750,-5.4590
-0.0660,-5.4680
-0.0570,-5.4770
-0.0570,-5.4860
-0.0480,-5.4950
-0.0480,-5.5040
-0.0390,-5.5130
-0.0390,-5.5220
-0.0300,-5.5310
-0.0210,-5.5400
-0.0120,-5.5490
-0.0030,-5.5580
-0.0030,-5.5670
0.0060,-5.5760
0.0150,-5.5850
0.0240,-5.5940
0.0330,-5.5940
0.0420,-5.6030
0.0510,-5.6120
0.0600,-5.6210
0.0600,-5.6300
0.0690,-5.6390
0.0780,-5.6480
0.0870,-5.6570
0.0960,-5.6570
0.1050,-5.6660
0.1140,-5.6750
0.1230,-5.6840
0.1320,-5.6930
0.1320,-5.7020
0.1410,-5.7110
0.1500,-5.7110
0.1590,-5.7200
0.1680,-5.7290
0.1770,-5.7380
0.1860,-5.7380
0.1950,-5.7470
0.2040,-5.7470
0.2130,-5.7560
0.2220,-5.7650
0.2310,-5.7740
0.2400,-5.7830
0.2490,-5.7830
0.2580,-5.7920
0.2670,-5.8010
0.2760,-5.8010
0.2850,-5.8100
0.2940,-5.8190
0.3030,-5.8280
0.3120,-5.8370
0.3210,-5.8460
0.3300,-5.8550
0.3390,-5.8550
0.3480,-5.8640
0.3480,-5.8730
0.3570,-5.8820
0.3660,-5.8910
0.3750,-5.9000
0.3840,-5.9090
0.3930,-5.9180
0.3930,-5.9270
0.4020,-5.9360
0.4110,-5.9450
0.4200,-5.9540
0.4290,-5.9630
0.4380,-5.9630
0.4470,-5.9720
0.4560,-5.9810
0.4650,-5.9900
0.4740,-5.9990
0.4830,-6.0080
0.4920,-6.0170
0.5010,-6.0170
0.5100,-6.0260
0.5190,-6.0350
0.5280,-6.0440
0.5370,-6.0530
0.5460,-6.0530
0.5550,-6.0620
0.5640,-6.0710
0.5730,-6.0800
0.5820,-6.0890
0.5910,-6.0980
0.6000,-6.0980
0.6090,-6.1070
0.6180,-6.1070
0.6270,-6.1160
0.6360,-6.1160
0.6450,-6.1250
0.6540,-6.1340
0.6630,-6.1340
0.6720,-6.1340
0.6810,-6.1430
0.6900,-6.1520
0.6990,-6.1520
0.7080,-6.1520
0.7170,-6.1610
0.7260,-6.1610
0.7350,-6.1700
0.7440,-6.1790
0.7530,-6.1790
0.7620,-6.1880
0.7710,-6.1970
0.7800,-6.1970
0.7890,-6.1970
0.7980,-6.1970
0.8070,-6.2060
0.8160,-6.2060
0.8250,-6.2150
0.8340,-6.2150
0.8430,-6.2240
0.8520,-6.2240
0.8610,-6.2330
0.8700,-6.2330
0.8790,-6.2420
0.8880,-6.2420
0.8970,-6.2510
0.9060,-6.2510
0.9150,-6.2600
0.9240,-6.2600
0.9330,-6.2690
0.9420,-6.2690
0.9510,-6.2780
0.9600,-6.2780
0.9690,-6.2870
0.9780,-6.2870
0.9870,-6.2960
0.9960,-6.2960
1.0050,-6.3050
1.0140,-6.3050
1.0230,-6.3140
1.0320,-6.3140
1.0410,-6.3230
1.0500,-6.3320
1.0590,-6.3320
1.0680,-6.3410
1.0770,-6.3410
1.0860,-6.3500
1.0950,-6.3500
1.1040,-6.3500
1.1130,-6.3590
1.1220,-6.3590
1.1310,-6.3590
1.1400,-6.3680
1.1490,-6.3680
1.1580,-6.3680
1.1670,-6.3770
1.1760,-6.3770
1.1850,-6.3770
1.1940,-6.3770
1.2030,-6.3860
1.2120,-6.3860
1.2210,-6.3860
1.2300,-6.3950
1.2390,-6.3950
1.2480,-6.3950
1.2570,-6.4040
1.2660,-6.4040
1.2750,-6.4040
1.2840,-6.4040
1.2930,-6.4040
1.3020,-6.4130
1.3110,-6.4130
1.3200,-6.4130
1.3290,-6.4220
1.3380,-6.4220
1.3470,-6.4220
1.3560,-6.4220
1.3650,-6.4310
1.3740,-6.4310
1.3830,-6.4310
1.3920,-6.4400
1.4010,-6.4400
1.4100,-6.4400
1.4190,-6.4400
1.4280,-6.4490
1.4370,-6.4490
1.4460,-6.4580
1.4550,-6.4670
1.4640,-6.4670
1.4730,-6.4760
1.4820,-6.4760
1.4910,-6.4850
1.5000,-6.4850
1.5090,-6.4940
1.5180,-6.4940
1.5270,-6.4940
1.5360,-6.5030
1.5450,-6.5030
1.5540,-6.5030
1.5630,-6.5120
1.5720,-6.5120
1.5810,-6.5120
1.5900,-6.5120
1.5990,-6.5120
1.6080,-6.5210
1.6170,-6.5210
1.6260,-6.5210
1.6350,-6.5300
1.6440,-6.5300
1.6530,-6.5300
1.6620,-6.5300
1.6710,-6.5390
1.6800,-6.5390
1.6890,-6.5390
1.6980,-6.5390
1.7070,-6.5480
1.7160,-6.5480
1.7250,-6.5480
1.7340,-6.5570
1.7430,-6.5570
1.7520,-6.5570
1.7610,-6.5570
1.7700,-6.5660
1.7790,-6.5660
1.7880,-6.5660
1.7970,-6.5660
1.8060,-6.5660
1.8150,-6.5750
1.8240,-6.5750
1.8330,-6.5750
1.8420,-6.5840
1.8510,-6.5840
1.8600,-6.5840
1.8690,-6.5840
1.8780,-6.5840
1.8870,-6.5840
1.8960,-6.5840
1.9050,-6.5840
1.9140,-6.5840
1.9230,-6.5750
1.9320,-6.5750
1.9410,-6.5750
1.9500,-6.5750
1.9590,-6.5750
1.9680,-6.5660
1.9770,-6.5660
1.9860,-6.5660
1.9950,-6.5660
