x,y
3.6130,-2.6650
3.6130,-2.6700
3.6130,-2.6750
3.6130,-2.6800
3.6130,-2.6850
3.6130,-2.6900
3.6130,-2.6950
3.6130,-2.7000
3.6130,-2.7050
3.6130,-2.7100
3.6130,-2.7150
3.6130,-2.7200
3.6130,-2.7250
3.6130,-2.7300
3.6180,-2.7350
3.6180,-2.7400
3.6180,-2.7450
3.6180,-2.7500
3.6180,-2.7550
3.6180,-2.7600
3.6180,-2.7650
3.6230,-2.7700
3.6230,-2.7750
3.6230,-2.7800
3.6230,-2.7850
3.6230,-2.7900
3.6230,-2.7950
3.6230,-2.8000
3.6280,-2.8050
3.6280,-2.8100
3.6280,-2.8150
3.6280,-2.8200
3.6280,-2.8250
3.6280,-2.8300
3.6280,-2.8350
3.6280,-2.8400
3.6280,-2.8450
3.6330,-2.8500
3.6330,-2.8550
3.6330,-2.8600
3.6380,-2.8650
3.6380,-2.8700
3.6380,-2.8750
3.6430,-2.8800
3.6430,-2.8850
3.6430,-2.8900
3.6430,-2.8950
3.6430,-2.9000
3.6430,-2.9050
3.6430,-2.9100
3.6480,-2.9150
3.6480,-2.9200
3.6480,-2.9250
3.6480,-2.9300
3.6530,-2.9350
3.6530,-2.9400
3.6530,-2.9450
3.6530,-2.9500
3.6530,-2.9550
3.6530,-2.9600
3.6530,-2.9650
3.6530,-2.9700
3.6530,-2.9750
3.6530,-2.9800
3.6580,-2.9850
3.6580,-2.9900
3.6580,-2.9950
3.6580,-3.0000
3.6580,-3.0050
3.6630,-3.0100
3.6630,-3.0150
3.6630,-3.0200
3.6630,-3.0250
3.6680,-3.0300
3.6680,-3.0350
3.6680,-3.0400
3.6680,-3.0450
3.6730,-3.0500
3.6730,-3.0550
3.6730,-3.0600
3.6730,-3.0650
3.6730,-3.0700
3.6730,-3.0750
3.6730,-3.0800
3.6730,-3.0850
3.6730,-3.0900
3.6730,-3.0950
3.6730,-3.1000
3.6730,-3.1050
3.6730,-3.1100
3.6780,-3.1150
3.6780,-3.1200
3.6780,-3.1250
3.6780,-3.1300
3.6780,-3.1350
3.6780,-3.1400
3.6780,-3.1450
3.6780,-3.1500
3.6780,-3.1550
3.6780,-3.1600
3.6780,-3.1650
3.6780,-3.1700
3.6780,-3.1750
3.6780,-3.1800
3.6780,-3.1850
3.6780,-3.1900
3.6780,-3.1950
3.6780,-3.2000
3.6780,-3.2050
3.6830,-3.2100
3.6830,-3.2150
3.6830,-3.2200
3.6830,-3.2250
3.6830,-3.2300
3.6830,-3.2350
3.6830,-3.2400
3.6830,-3.2450
3.6830,-3.2500
3.6830,-3.2550
3.6880,-3.2600
3.6880,-3.2650
3.6880,-3.2700
3.6880,-3.2750
3.6880,-3.2800
3.6880,-3.2850
3.6880,-3.2900
3.6880,-3.2950
3.6880,-3.3000
3.6880,-3.3050
3.6880,-3.3100
3.6880,-3.3150
3.6880,-3.3200
3.6880,-3.3250
3.6880,-3.3300
3.6880,-3.3350
3.6880,-3.3400
3.6880,-3.3450
3.6880,-3.3500
3.6880,-3.3550
3.6880,-3.3600
3.6880,-3.3650
3.6880,-3.3700
3.6880,-3.3750
3.6880,-3.3800
3.6880,-3.3850
3.6880,-3.3900
3.6880,-3.3950
3.6880,-3.4000
3.6880,-3.4050
3.6880,-3.4100
3.6880,-3.4150
3.6880,-3.4200
3.6880,-3.4250
3.6880,-3.4300
3.6880,-3.4350
3.6880,-3.4400
3.6880,-3.4450
3.6880,-3.4500
3.6880,-3.4550
3.6880,-3.4600
3.6880,-3.4650
3.6930,-3.4700
3.6930,-3.4750
3.6930,-3.4800
3.6930,-3.4850
3.6930,-3.4900
3.6930,-3.4950
3.6930,-3.5000
3.6930,-3.5050
3.6930,-3.5100
3.6930,-3.5150
3.6930,-3.5200
3.6930,-3.5250
3.6930,-3.5300
3.6930,-3.5350
3.6930,-3.5400
3.6930,-3.5450
3.6930,-3.5500
3.6930,-3.5550
3.6930,-3.5600
3.6930,-3.5650
3.6930,-3.5700
3.6930,-3.5750
3.6930,-3.5800
3.6980,-3.5850
3.6980,-3.5900
3.6980,-3.5950
3.6980,-3.6000
3.6980,-3.6050
3.6980,-3.6100
3.6980,-3.6150
3.6980,-3.6200
3.6980,-3.6250
3.6980,-3.6300
3.6980,-3.6350
3.6980,-3.6400
3.6980,-3.6450
3.6980,-3.6500
3.7030,-3.6550
3.7030,-3.6600
3.7030,-3.6650
3.7030,-3.6700
3.7030,-3.6750
3.7080,-3.6800
3.7080,-3.6850
3.7080,-3.6900
3.7080,-3.6950
3.7080,-3.7000
3.7080,-3.7050
3.7080,-3.7100
3.7080,-3.7150
3.7130,-3.7200
3.7130,-3.7250
3.7130,-3.7300
3.7180,-3.7350
3.7180,-3.7400
3.7180,-3.7450
3.7180,-3.7500
3.7230,-3.7550
3.7230,-3.7600
3.7230,-3.7650
3.7280,-3.7700
3.7280,-3.7750
3.7280,-3.7800
3.7330,-3.7850
3.7330,-3.7900
3.7330,-3.7950
3.7330,-3.8000
3.7330,-3.8050
3.7330,-3.8100
3.7330,-3.8150
3.7380,-3.8200
3.7380,-3.8250
3.7380,-3.8300
3.7380,-3.8350
3.7380,-3.8400
3.7380,-3.8450
3.7380,-3.8500
3.7380,-3.8550
3.7380,-3.8600
3.7380,-3.8650
3.7380,-3.8700
3.7380,-3.8750
3.7380,-3.8800
3.7380,-3.8850
3.7380,-3.8900
3.7380,-3.8950
3.7380,-3.9000
3.7380,-3.9050
3.7380,-3.9100
3.7380,-3.9150
3.7380,-3.9200
3.7380,-3.9250
3.7380,-3.9300
3.7380,-3.9350
3.7380,-3.9400
3.7380,-3.9450
3.7380,-3.9500
3.7380,-3.9550
3.7380,-3.9600
3.7380,-3.9650
3.7380,-3.9700
3.7380,-3.9750
3.7380,-3.9800
3.7380,-3.9850
3.7380,-3.9900
3.7380,-3.9950
3.7380,-4.0000
3.7380,-4.0050
3.7380,-4.0100
3.7380,-4.0150
3.7380,-4.0200
3.7380,-4.0250
3.7380,-4.0300
3.7430,-4.0350
3.7430,-4.0400
3.7430,-4.0450
3.7430,-4.0500
3.7430,-4.0550
3.7430,-4.0600
3.7430,-4.0650
3.7430,-4.0700
3.7430,-4.0750
3.7430,-4.0800
3.7480,-4.0850
3.7480,-4.0900
3.7480,-4.0950
3.7480,-4.1000
3.7480,-4.1050
3.7480,-4.1100
3.7480,-4.1150
3.7480,-4.1200
3.7530,-4.1250
3.7530,-4.1300
3.7530,-4.1350
3.7530,-4.1400
3.7530,-4.1450
3.7530,-4.1500
3.7530,-4.1550
3.7580,-4.1600
3.7580,-4.1650
3.7580,-4.1700
3.7580,-4.1750
3.7580,-4.1800
3.7580,-4.1850
3.7580,-4.1900
3.7630,-4.1950
3.7630,-4.2000
3.7630,-4.2050
3.7630,-4.2100
3.7630,-4.2150
3.7680,-4.2200
3.7680,-4.2250
3.7680,-4.2300
3.7730,-4.2350
3.7730,-4.2400
3.7730,-4.2450
3.7730,-4.2500
3.7780,-4.2550
3.7780,-4.2600
3.7780,-4.2650
3.7830,-4.2700
3.7830,-4.2750
3.7830,-4.2800
3.7880,-4.2850
3.7880,-4.2900
3.7880,-4.2950
3.7930,-4.3000
3.7930,-4.3050
3.7930,-4.3100
3.7930,-4.3150
3.7930,-4.3200
3.7980,-4.3250
3.7980,-4.3300
3.8030,-4.3350
3.8030,-4.3400
3.8030,-4.3450
3.8030,-4.3500
3.8030,-4.3550
3.8080,-4.3600
3.8080,-4.3650
3.8080,-4.3700
3.8080,-4.3750
3.8080,-4.3800
3.8080,-4.3850
3.8030,-4.3900
3.8030,-4.3950
3.8030,-4.4000
3.7980,-4.4050
3.7980,-4.4100
3.7980,-4.4150
3.7980,-4.4200
3.7930,-4.4250
3.7930,-4.4300
3.7930,-4.4350
3.7930,-4.4400
3.7980,-4.4450
3.7980,-4.4500
