x,y
-0.274,-3.361
-0.274,-3.37
-0.274,-3.379
-0.265,-3.388
-0.265,-3.397
-0.256,-3.406
-0.256,-3.415
-0.247,-3.424
-0.247,-3.433
-0.238,-3.442
-0.229,-3.451
-0.229,-3.46
-0.22,-3.469
-0.211,-3.478
-0.211,-3.487
-0.202,-3.496
-0.202,-3.505
-0.193,-3.514
-0.184,-3.523
-0.175,-3.532
-0.175,-3.541
-0.166,-3.55
-0.166,-3.559
-0.157,-3.568
-0.148,-3.577
-0.148,-3.586
-0.139,-3.595
-0.13,-3.604
-0.13,-3.613
-0.121,-3.622
-0.112,-3.631
-0.103,-3.64
-0.103,-3.649
-0.094,-3.658
-0.094,-3.667
-0.085,-3.676
-0.076,-3.685
-0.076,-3.694
-0.067,-3.703
-0.058,-3.712
-0.058,-3.721
-0.049,-3.73
-0.049,-3.739
-0.04,-3.748
-0.04,-3.757
-0.031,-3.766
-0.031,-3.775
-0.022,-3.784
-0.022,-3.793
-0.022,-3.802
-0.022,-3.811
-0.013,-3.82
-0.013,-3.829
-0.004,-3.838
-0.004,-3.847
0.005,-3.856
0.005,-3.865
0.014,-3.874
0.014,-3.883
0.023,-3.892
0.023,-3.901
0.032,-3.91
0.041,-3.919
0.041,-3.928
0.05,-3.937
0.05,-3.946
0.059,-3.955
0.059,-3.964
0.059,-3.973
0.068,-3.982
0.068,-3.991
0.077,-4.0
0.077,-4.009
0.077,-4.018
0.077,-4.027
0.086,-4.036
0.086,-4.045
0.095,-4.054
0.095,-4.063
0.095,-4.072
0.095,-4.081
0.095,-4.09
0.104,-4.099
0.104,-4.108
0.113,-4.117
0.113,-4.126
0.113,-4.135
0.113,-4.144
0.122,-4.153
0.122,-4.162
0.122,-4.171
0.131,-4.18
0.131,-4.189
0.131,-4.198
0.14,-4.207
0.149,-4.216
0.158,-4.225
0.167,-4.234
0.176,-4.243
0.185,-4.252
0.194,-4.261
0.203,-4.27
0.203,-4.279
0.212,-4.288
0.221,-4.297
0.23,-4.306
0.239,-4.315
0.248,-4.315
0.257,-4.324
0.266,-4.333
0.275,-4.342
0.284,-4.351
0.293,-4.351
0.302,-4.36
0.302,-4.369
0.311,-4.378
0.32,-4.387
0.329,-4.396
0.338,-4.405
0.347,-4.414
0.356,-4.414
0.365,-4.423
0.374,-4.432
0.383,-4.441
0.392,-4.45
0.401,-4.459
0.41,-4.468
0.419,-4.477
0.419,-4.486
0.428,-4.495
0.437,-4.504
0.446,-4.513
0.455,-4.522
0.464,-4.522
0.473,-4.531
0.482,-4.531
0.491,-4.54
0.5,-4.549
0.509,-4.549
0.518,-4.549
0.527,-4.549
0.536,-4.558
0.545,-4.558
0.554,-4.558
0.563,-4.567
0.572,-4.567
0.581,-4.576
0.59,-4.576
0.599,-4.576
0.608,-4.585
0.617,-4.585
0.626,-4.594
0.635,-4.594
0.644,-4.594
0.653,-4.603
0.662,-4.603
0.671,-4.603
0.68,-4.612
0.689,-4.612
0.698,-4.612
0.707,-4.621
0.716,-4.621
0.725,-4.63
0.734,-4.63
0.743,-4.63
0.752,-4.639
0.761,-4.639
0.77,-4.648
0.779,-4.648
0.788,-4.648
0.797,-4.657
0.806,-4.657
0.815,-4.657
0.824,-4.657
0.833,-4.657
0.842,-4.666
0.851,-4.666
0.86,-4.666
0.869,-4.666
0.878,-4.666
0.887,-4.675
0.896,-4.675
0.905,-4.675
0.914,-4.675
0.923,-4.675
0.932,-4.684
0.941,-4.684
0.95,-4.684
0.959,-4.684
0.968,-4.684
0.977,-4.693
0.986,-4.693
0.995,-4.693
1.004,-4.702
1.013,-4.693
1.022,-4.693
1.031,-4.693
1.04,-4.684
1.049,-4.684
1.058,-4.684
1.067,-4.684
1.076,-4.675
1.085,-4.675
1.094,-4.675
1.103,-4.675
1.112,-4.666
1.121,-4.666
1.13,-4.666
1.139,-4.666
1.148,-4.657
