x,y
-0.7422165,-4.0233071
-0.5357863,-4.4413250
-0.2998662,-4.8748250
0.0030000,-5.1860000
0.4530000,-5.3300000
0.9030000,-5.3300000
1.3530000,-5.3210000
1.8030000,-5.3030000
2.2530000,-5.1590000
2.7030000,-4.9070000
3.1530000,-4.6820000
3.6030000,-4.6190000
4.0530000,-4.3760000
4.4940000,-3.9890000
4.8630000,-3.5480000
5.0070000,-3.0980000
5.1330000,-2.6480000
5.1330000,-2.1980000
4.7640000,-1.8740000
4.3140000,-1.7570000
3.8640000,-1.5860000
3.4140000,-1.4330000
2.9640000,-1.1540000
2.5680000,-0.7400000
2.1810000,-0.3800000
1.7310000,-0.1730000
1.2810000,-0.1280000
0.8310000,-0.1370000
0.3810000,-0.1550000
-0.0690000,-0.2000000
-0.5190000,-0.2630000
-1.0076267,-0.3850036
-1.2730369,-0.7875393
-1.3025269,-1.2055571
-1.2877819,-1.7164679
-1.2140568,-2.2428607
-1.1550768,-2.6453964
-1.0371167,-3.1408250
-0.9339016,-3.5743250
